Id_cliente;venta_total;costo_unitario;cant_unidades;filial_id;dia_id;id;nota;atencion_amable;nivel_2;rango_edad;codigo_del_vendedor;comuna;region;dia_respuesta
a2795;2988;1741;1;646;2021-10-21 00:00:00.000000;605677;9;7;Locales;De 46 a 60 años;19365;independencia;Metropolitana;26-10-2021
a2796;407130;359407;1;243;2021-07-17 00:00:00.000000;554768;8;10;Locales;De 46 a 60 años;2194;calera;V Valparaiso;19-07-2021
a2796;2463;803;1;243;2023-02-14 00:00:00.000000;858370;10;10;Locales;De 46 a 60 años;23764;la calera;V Valparaiso;15-02-2023
a2796;12781;7020;1;243;2022-02-18 00:00:00.000000;661677;3;10;Locales;De 46 a 60 años;23361;la calera;V Valparaiso;20-02-2022
a2796;41887;23262;1;754;2021-08-06 00:00:00.000000;565220;10;10;Locales;De 46 a 60 años;4982;quillota;V Valparaiso;07-08-2021
a2797;20099;13470;1;83;2021-03-24 00:00:00.000000;488207;0;9;Locales;De 46 a 60 años;4689;temuco;IX La Araucania;25-03-2021
a2798;36867;21493;1;291;2022-03-05 00:00:00.000000;669555;10;10;Locales;De 46 a 60 años;13279;san pedro de la paz;VIII Biobio;06-03-2022
a2798;17822;10206;1;291;2022-01-04 00:00:00.000000;640577;10;10;Locales;De 46 a 60 años;13279;san pedro de la paz;VIII Biobio;05-01-2022
a2799;20155;9240;1;100;2022-11-26 00:00:00.000000;816589;10;10;Locales;De 46 a 60 años;24917;las condes;Metropolitana;27-11-2022
a2799;27283;18145;1;132;2021-09-24 00:00:00.000000;590444;10;10;Locales;De 46 a 60 años;21908;las condes;Metropolitana;26-09-2021
a2799;32879;26970;1;;2021-03-28 00:00:00.000000;489182;10;;Compra TelefÃ³nica;De 46 a 60 años;21846;las condes;Metropolitana;29-03-2021
a2799;19272;5332;1;;2021-06-15 00:00:00.000000;535014;10;;Compra TelefÃ³nica;De 46 a 60 años;19248;las condes;Metropolitana;16-06-2021
a2799;28481;18185;1;;2022-05-04 00:00:00.000000;706027;10;;Compra Telefónica;De 46 a 60 años;11441;las condes;Metropolitana;11-05-2022
a2799;10004;4400;1;;2022-01-19 00:00:00.000000;647443;10;;Compra Telefónica;De 46 a 60 años;21846;las condes;Metropolitana;20-01-2022
a2799;7489;4923;1;;2021-05-04 00:00:00.000000;510255;10;;Compra TelefÃ³nica;De 46 a 60 años;11441;las condes;Metropolitana;10-05-2021
a2799;6174;3280;1;285;2021-03-05 00:00:00.000000;482785;10;10;Locales;De 46 a 60 años;12726;las condes;Metropolitana;07-03-2021
a2799;131574;90347;1;614;2021-05-07 00:00:00.000000;510261;10;10;Locales;De 46 a 60 años;20745;las condes;Metropolitana;10-05-2021
a2799;27932;23600;1;614;2021-04-13 00:00:00.000000;496318;10;10;Locales;De 46 a 60 años;23190;las condes;Metropolitana;14-04-2021
a2800;28254;11199;1;146;2022-05-11 00:00:00.000000;707158;9;9;Locales;De 46 a 60 años;9966;peñalolen;Metropolitana;12-05-2022
a2801;23711;30933;1;100;2022-06-20 00:00:00.000000;732105;8;10;Locales;De 46 a 60 años;2555;las condes;Metropolitana;21-06-2022
a2802;7798;4071;1;168;2021-10-08 00:00:00.000000;599802;10;10;Locales;De 46 a 60 años;3399;macul;Metropolitana;15-10-2021
a2802;28397;15262;1;617;2022-03-10 00:00:00.000000;673949;0;0;Locales;De 46 a 60 años;3399;macul;Metropolitana;14-03-2022
a2803;37759;26690;1;617;2021-07-04 00:00:00.000000;546437;10;10;Locales;De 46 a 60 años;17455;macul;Metropolitana;05-07-2021
a2804;25909;16845;1;;2021-07-01 00:00:00.000000;547308;10;;Retiro en Tienda;De 46 a 60 años;23781;Ñuñoa;Metropolitana;06-07-2021
a2805;42730;28568;1;43;2022-06-30 00:00:00.000000;737816;10;10;Locales;De 46 a 60 años;8983;melipilla;Metropolitana;01-07-2022
a2805;62280;38953;1;43;2021-07-29 00:00:00.000000;560919;10;10;Locales;De 46 a 60 años;9379;melipilla;Metropolitana;30-07-2021
a2805;15597;9567;1;43;2021-09-30 00:00:00.000000;592222;10;10;Locales;De 46 a 60 años;9313;melipilla;Metropolitana;01-10-2021
a2805;47576;27171;1;43;2021-03-25 00:00:00.000000;488447;10;10;Locales;De 46 a 60 años;5603;melipilla;Metropolitana;26-03-2021
a2806;15679;9874;1;159;2021-10-20 00:00:00.000000;603559;10;10;Locales;De 46 a 60 años;10175;estacion central;Metropolitana;21-10-2021
a2806;61258;34936;1;197;2022-03-09 00:00:00.000000;674192;10;10;Locales;De 46 a 60 años;3231;melipilla;Metropolitana;14-03-2022
a2807;34897;8121;1;187;2021-08-09 00:00:00.000000;567174;6;9;Locales;De 46 a 60 años;19353;peñalolen;Metropolitana;10-08-2021
a2807;22098;8576;1;187;2022-03-02 00:00:00.000000;667675;9;10;Locales;De 46 a 60 años;8209;peñalolen;Metropolitana;03-03-2022
a2807;2999;529;1;755;2021-08-18 00:00:00.000000;572536;9;9;Locales;De 46 a 60 años;7743;la florida;Metropolitana;20-08-2021
a2808;23531;13486;1;75;2021-12-20 00:00:00.000000;633748;10;10;Locales;De 46 a 60 años;9922;renca;Metropolitana;21-12-2021
a2808;8776;13659;1;75;2022-08-20 00:00:00.000000;767480;10;10;Locales;De 46 a 60 años;8323;renca;Metropolitana;22-08-2022
a2808;3989;3375;1;75;2022-09-04 00:00:00.000000;773476;10;10;Locales;De 46 a 60 años;4491;renca;Metropolitana;05-09-2022
a2808;8374;36466;1;75;2023-01-08 00:00:00.000000;839451;10;10;Locales;De 46 a 60 años;26126;renca;Metropolitana;09-01-2023
a2809;34077;23375;1;371;2022-05-13 00:00:00.000000;708450;9;10;Locales;De 46 a 60 años;1404;concepcion;VIII Biobio;15-05-2022
a2810;9977;6349;1;370;2022-04-09 00:00:00.000000;689263;10;10;Locales;De 46 a 60 años;7552;chillan;Región no disponible;10-04-2022
a2811;188761;50442;1;;2021-11-06 00:00:00.000000;613923;0;;Ãltima Milla;De 46 a 60 años;18703;las condes;Metropolitana;11-11-2021
a2811;8523;4491;1;158;2022-08-18 00:00:00.000000;766495;7;6;Locales;De 46 a 60 años;23873;las condes;Metropolitana;19-08-2022
a2811;165621;185774;1;482;2021-06-29 00:00:00.000000;543536;9;10;Locales;De 46 a 60 años;20209;las condes;Metropolitana;01-07-2021
a2811;96271;63758;1;482;2021-12-10 00:00:00.000000;628154;4;10;Locales;De 46 a 60 años;20209;las condes;Metropolitana;11-12-2021
a2811;36770;22794;1;482;2022-08-06 00:00:00.000000;759901;6;6;Locales;De 46 a 60 años;20209;las condes;Metropolitana;07-08-2022
a2812;13987;7874;1;454;2022-08-05 00:00:00.000000;759105;0;10;Locales;De 46 a 60 años;13336;castro;X Los Lagos;06-08-2022
a2813;62398;31269;1;16;2021-09-08 00:00:00.000000;582237;10;10;Locales;De 46 a 60 años;1982;talca;VII Maule;09-09-2021
a2813;80752;52687;1;324;2022-08-01 00:00:00.000000;756790;10;10;Locales;De 46 a 60 años;2551;talca;VII Maule;03-08-2022
a2813;6799;1490;1;324;2021-07-26 00:00:00.000000;559111;10;10;Locales;De 46 a 60 años;10412;talca;VII Maule;27-07-2021
a2813;1839;437;1;324;2022-04-28 00:00:00.000000;699407;10;10;Locales;De 46 a 60 años;2551;talca;VII Maule;29-04-2022
a2813;19978;61193;1;324;2022-06-18 00:00:00.000000;731061;10;10;Locales;De 46 a 60 años;2551;talca;VII Maule;20-06-2022
a2814;142383;105514;1;482;2022-05-16 00:00:00.000000;711001;10;10;Locales;De 36 a 45 años;23280;las condes;Metropolitana;19-05-2022
a2815;65192;19949;1;;2022-02-13 00:00:00.000000;660497;8;;Compra Online Despac;De 46 a 60 años;1;san bernardo;Metropolitana;17-02-2022
a2816;80748;67141;1;300;2022-07-30 00:00:00.000000;755026;9;10;Locales;De 46 a 60 años;25059;limache;V Valparaiso;31-07-2022
a2816;66798;31021;1;382;2022-02-15 00:00:00.000000;659917;10;10;Locales;De 46 a 60 años;20137;viña del mar;V Valparaiso;16-02-2022
a2816;2220;551;1;771;2022-07-23 00:00:00.000000;753577;9;10;Locales;De 46 a 60 años;24311;pirque;Metropolitana;28-07-2022
a2817;28128;33185;1;569;2023-03-22 00:00:00.000000;878222;10;10;Locales;De 46 a 60 años;14697;Ñuñoa;Metropolitana;25-03-2023
a2818;6896;5753;1;436;2022-06-15 00:00:00.000000;729868;10;10;Locales;De 46 a 60 años;23736;machali;VI O'Higgins;17-06-2022
a2819;75297;41388;1;360;2022-05-23 00:00:00.000000;712736;10;10;Locales;De 46 a 60 años;5877;punta arenas;XII Magallanes y Antartica;24-05-2022
a2820;22399;15928;1;;2023-03-03 00:00:00.000000;867636;8;;Retiro en Tienda;De 46 a 60 años;9873;punta arenas;XII Magallanes y Antartica;05-03-2023
a2821;76823;54671;1;490;2022-08-06 00:00:00.000000;759749;8;10;Locales;De 46 a 60 años;6066;maipu;Metropolitana;07-08-2022
a2821;42267;45874;1;490;2022-09-30 00:00:00.000000;785484;10;10;Locales;De 46 a 60 años;23323;maipu;Metropolitana;01-10-2022
a2821;38691;25983;1;490;2022-09-08 00:00:00.000000;775421;6;10;Locales;De 46 a 60 años;23323;maipu;Metropolitana;09-09-2022
a2821;43775;32539;1;490;2023-01-24 00:00:00.000000;847744;10;10;Locales;De 46 a 60 años;6066;maipu;Metropolitana;25-01-2023
a2821;27392;7732;1;490;2022-11-28 00:00:00.000000;817661;10;10;Locales;De 46 a 60 años;25656;maipu;Metropolitana;29-11-2022
a2821;7398;4659;1;490;2022-10-26 00:00:00.000000;799766;10;10;Locales;De 46 a 60 años;23323;maipu;Metropolitana;27-10-2022
a2821;30686;15201;1;490;2023-01-03 00:00:00.000000;838973;8;9;Locales;De 46 a 60 años;6066;maipu;Metropolitana;08-01-2023
a2821;7598;4762;1;490;2022-12-17 00:00:00.000000;830949;9;10;Locales;De 46 a 60 años;16435;maipu;Metropolitana;22-12-2022
a2822;47343;31701;1;712;2022-11-22 00:00:00.000000;814834;7;10;Locales;De 46 a 60 años;3570;temuco;IX La Araucania;23-11-2022
